config_a,config_b,p_raw,p_adj
mopso_rk,nsga2_rk_repair,8.776546120200688e-26,1.8430746852421446e-24
nsga2_di_death,paes_di_repair,2.056126171615783e-25,4.112252343231566e-24
nsga2_di_repair,paes_di_repair,2.056126171615783e-25,4.112252343231566e-24
nsga2_di_penalty,paes_di_repair,2.056126171615783e-25,4.112252343231566e-24
mopso_rk,nsga2_di_death,2.656291771666827e-25,4.515696011833606e-24
mopso_rk,nsga2_di_repair,2.656291771666827e-25,4.515696011833606e-24
mopso_rk,nsga2_di_penalty,2.656291771666827e-25,4.515696011833606e-24
nsga2_di_death,paco_di,1.728658296928132e-24,2.420121615699385e-23
nsga2_di_penalty,paco_di,1.728658296928132e-24,2.420121615699385e-23
nsga2_di_repair,paco_di,1.728658296928132e-24,2.420121615699385e-23
nsga2_rk_repair,paco_di,1.2681575397480873e-23,1.394973293722896e-22
nsga2_rk_repair,paes_di_repair,2.8590554730245206e-23,2.8590554730245206e-22
mopso_rk,paes_di_repair,0.9081370130846428,1.0
nsga2_di_death,nsga2_di_penalty,1.0,1.0
nsga2_di_death,nsga2_di_repair,1.0,1.0
nsga2_di_death,nsga2_rk_repair,0.3593821726261135,1.0
nsga2_di_penalty,nsga2_di_repair,1.0,1.0
nsga2_di_penalty,nsga2_rk_repair,0.3593821726261135,1.0
nsga2_di_repair,nsga2_rk_repair,0.3593821726261135,1.0
mopso_rk,paco_di,0.18874333142473732,1.0
paco_di,paes_di_repair,0.19255826625880368,1.0
