,,,f1_best,f1_best,f1_best,f1_best,f2_best,f2_best,f2_best,f2_best,runtime_s,runtime_s,runtime_s,runtime_s,hypervolume,hypervolume,hypervolume,hypervolume,igd,igd,igd,igd,spacing,spacing,spacing,spacing,delta_spread,delta_spread,delta_spread,delta_spread,front_size,front_size,front_size,front_size
,,,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
config_id,subject_id,algorithm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mopso_rk,1,MOPSO,3518.1687,729.3239,2099.95,5252.33,193.7934,27.9059,144.6167,280.0871,0.38,0.0217,0.3575,0.4431,636420.8246,219269.0864,260287.3958,1316841.9523,826.8559,289.2929,424.1183,1750.5726,470.446,236.6659,183.5701,1158.4049,0.8819,0.1243,0.7099,1.1727,15.8333,6.9386,8,37
mopso_rk,2,MOPSO,2207.66,573.3035,1181.55,3859.95,189.6122,33.8841,138.7818,257.5492,0.3654,0.0087,0.3524,0.3821,429873.9354,266814.6871,84250.0412,1384770.8343,681.7221,306.2299,335.2335,1768.6633,357.3487,231.6521,70.2924,1126.668,0.8791,0.155,0.6348,1.1852,15.2667,8.145,7,39
mopso_rk,3,MOPSO,5093.1547,880.0134,3062.52,7081.88,201.5093,43.5393,130.1171,308.5133,0.3812,0.0373,0.358,0.5499,673743.4558,298234.2717,217407.4242,1519438.0033,1283.2317,362.0967,456.7731,2280.9646,428.4566,272.6855,148.2435,1142.4045,0.9348,0.1573,0.7231,1.2667,19.8333,14.3168,6,68
mopso_rk,4,MOPSO,546.3,130.3061,278.5,892.5,146.8158,31.4283,100.3117,236.1319,0.3645,0.0272,0.3401,0.4548,155598.1634,85102.1357,30669.4715,351105.1099,219.4507,68.2437,106.0464,435.0659,195.6402,127.7843,59.7011,673.1095,1.0138,0.2193,0.6772,1.3949,21.6,15.6945,6,62
mopso_rk,5,MOPSO,447.6,83.733,279.1,602.3,144.7534,32.2312,79.3088,203.8314,0.3582,0.0169,0.3383,0.4117,122995.2895,70269.3752,7396.0767,312447.983,191.0315,40.79,117.6452,277.6884,195.667,153.7737,19.5981,717.7263,0.9935,0.2505,0.6242,1.4362,17.2333,13.7206,4,61
nsga2_di_death,1,NSGA-II,1974.5833,270.798,1417.95,2427.57,202.1321,37.0306,132.5199,300.2301,2.7387,0.0324,2.6628,2.7949,1461808.2394,456605.7826,786266.3494,2929120.3035,202.2472,52.1455,109.281,305.9514,117.1892,29.9952,58.8029,180.7809,0.8214,0.0561,0.7101,0.9273,80.0,0.0,80,80
nsga2_di_death,2,NSGA-II,974.1033,181.5893,577.85,1317.25,181.597,37.3058,113.734,257.0809,2.7253,0.0375,2.6638,2.792,1178988.033,376167.0149,570299.1468,1988986.6286,133.7746,43.3237,69.4751,258.8888,125.8897,49.1575,47.0644,272.3373,0.8534,0.0674,0.6765,0.9452,80.0,0.0,80,80
nsga2_di_death,3,NSGA-II,3170.1667,518.7495,1652.48,4062.88,216.7602,53.3214,154.691,370.9598,2.7593,0.0323,2.6698,2.8096,1681560.7236,471872.6063,714292.3881,2977498.9728,366.7207,132.5282,166.2847,666.8865,135.7946,51.6173,65.9344,301.9452,0.8424,0.0671,0.7136,1.0059,80.0,0.0,80,80
