algorithm,config_id,pop_size,max_generations,mutation_rate,inertia,c1,c2,max_archive_size,evaporation_rate,alpha,initial_pheromone,leader_method,hv_mean,hv_std,igd_mean,runtime_mean,n,rank
MOPSO,mopso_p30_g80_w04_c20_a80_sigma,30,80,,0.4,2.0,2.0,80.0,,,,sigma,489400.61525373504,341882.7577404879,566.9496563632937,0.29504502919735387,10,1
MOPSO,mopso_p30_g80_w04_c20_a40_sigma,30,80,,0.4,2.0,2.0,40.0,,,,sigma,489400.61525373504,341882.7577404879,566.9496563632937,0.29576202100433874,10,2
MOPSO,mopso_p60_g80_w04_c20_a80_sigma,60,80,,0.4,2.0,2.0,80.0,,,,sigma,469800.24610671896,389763.36256848264,535.9522651497384,0.5307854835002217,10,3
MOPSO,mopso_p60_g80_w04_c20_a40_sigma,60,80,,0.4,2.0,2.0,40.0,,,,sigma,469800.24610671896,389763.36256848264,535.9522651497384,0.5313812832988333,10,4
MOPSO,mopso_p60_g40_w04_c20_a80_sigma,60,40,,0.4,2.0,2.0,80.0,,,,sigma,456154.5986870804,310514.6190927707,716.2839112221808,0.26980777910212056,10,5
MOPSO,mopso_p60_g40_w04_c20_a40_sigma,60,40,,0.4,2.0,2.0,40.0,,,,sigma,456154.5986870804,310514.6190927707,716.2839112221808,0.26996608350164025,10,6
MOPSO,mopso_p30_g40_w04_c20_a80_sigma,30,40,,0.4,2.0,2.0,80.0,,,,sigma,429878.65522511984,360212.1256440177,785.4471143459261,0.14641218310134718,10,7
MOPSO,mopso_p30_g40_w04_c20_a40_sigma,30,40,,0.4,2.0,2.0,40.0,,,,sigma,429878.65522511984,360212.1256440177,785.4471143459261,0.14743844579788856,10,8
MOPSO,mopso_p60_g80_w04_c15_a40_sigma,60,80,,0.4,1.5,1.5,40.0,,,,sigma,407408.59516779496,394847.4847972497,408.5874470960081,0.5701099916987005,10,9
MOPSO,mopso_p60_g80_w04_c15_a80_sigma,60,80,,0.4,1.5,1.5,80.0,,,,sigma,371165.04573971237,373918.79636576865,390.23295234310325,0.5985496249995776,10,10
MOPSO,mopso_p60_g40_w04_c15_a80_sigma,60,40,,0.4,1.5,1.5,80.0,,,,sigma,364049.6088732008,288653.80027330696,663.931635303855,0.2715717460014275,10,11
MOPSO,mopso_p60_g40_w04_c15_a40_sigma,60,40,,0.4,1.5,1.5,40.0,,,,sigma,364049.6088732008,288653.80027330696,663.931635303855,0.27205462910205824,10,12
MOPSO,mopso_p30_g80_w04_c15_a80_sigma,30,80,,0.4,1.5,1.5,80.0,,,,sigma,351813.11923800164,348513.1558217588,652.3343192387634,0.3277671792006004,10,13
MOPSO,mopso_p30_g80_w04_c15_a40_sigma,30,80,,0.4,1.5,1.5,40.0,,,,sigma,338381.4726113474,336229.3808226785,639.6963977391167,0.3145174875986413,10,14
